country,iso3,who_region,year,week,specimens_tested,influenza_positive,positivity_rate,pm25,gdp_growth,gdp_per_capita,hospital_beds_per_1000,life_expectancy,physicians_per_1000,population_0_14,population_15_64,population_above_65,population_density,temp_weekly_avg,humidity_weekly_avg,absolute_humidity,temp_lag_1w,temp_lag_2w,humidity_lag_1w,humidity_lag_2w,abs_humidity_lag_1w,month,quarter,flu_lag_1,flu_lag_2,flu_lag_3,flu_lag_4,rolling_mean_3,rolling_std_3,sin_week,cos_week,country_month_mean
Cambodia,KHM,WPR,2006,5,19.0,1.0,0.0526315789473684,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,27.368571428571425,57.65285714285714,15.14749307152197,28.44142857142857,27.58142857142857,69.16285714285713,65.63428571428571,19.27797399380396,2,1,0.0416666666666666,0.0625,0.0357142857142857,0.0,0.052266081871344995,0.010421474729081353,0.5680647467311558,0.8229838658936564,0.06705104402954966
Cambodia,KHM,WPR,2006,6,35.0,1.0,0.0285714285714285,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,29.235714285714288,58.23,16.95135652550025,27.368571428571425,28.44142857142857,57.65285714285714,69.16285714285713,15.14749307152197,2,1,0.0526315789473684,0.0416666666666666,0.0625,0.0357142857142857,0.04095655806182117,0.012045783482248749,0.6631226582407952,0.7485107481711011,0.06705104402954966
Cambodia,KHM,WPR,2006,7,24.0,3.0,0.125,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,28.935714285714287,59.401428571428575,17.011439317796253,29.235714285714288,27.368571428571425,58.23,57.65285714285714,16.95135652550025,2,1,0.0285714285714285,0.0526315789473684,0.0416666666666666,0.0625,0.06873433583959897,0.050190551218197314,0.7485107481711011,0.6631226582407953,0.06705104402954966
Cambodia,KHM,WPR,2006,8,17.0,1.0,0.0588235294117647,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,29.867142857142856,61.07142857142857,18.399891228109848,28.935714285714287,29.235714285714288,59.401428571428575,58.23,17.011439317796253,2,1,0.125,0.0285714285714285,0.0526315789473684,0.0416666666666666,0.07079831932773108,0.0493169751919907,0.8229838658936564,0.5680647467311559,0.06705104402954966
Cambodia,KHM,WPR,2006,9,29.0,7.0,0.2413793103448276,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,31.02428571428572,54.205714285714286,17.385187112567824,29.867142857142856,28.935714285714287,61.07142857142857,59.401428571428575,18.399891228109848,3,1,0.0588235294117647,0.125,0.0285714285714285,0.0526315789473684,0.14173427991886411,0.09242121174991316,0.8854560256532099,0.4647231720437686,0.08339823959975246
Cambodia,KHM,WPR,2006,10,23.0,3.0,0.1304347826086956,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,29.197142857142858,60.18857142857143,17.484693230750583,31.02428571428572,29.867142857142856,54.205714285714286,61.07142857142857,17.385187112567824,3,1,0.2413793103448276,0.0588235294117647,0.125,0.0285714285714285,0.14354587412176265,0.09198140479748135,0.9350162426854148,0.35460488704253557,0.08339823959975246
Cambodia,KHM,WPR,2006,11,25.0,5.0,0.2,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,31.37857142857143,53.63142857142857,17.531585297908933,29.197142857142858,31.02428571428572,60.18857142857143,54.205714285714286,17.484693230750583,3,1,0.1304347826086956,0.2413793103448276,0.0588235294117647,0.125,0.19060469765117438,0.05606581702176222,0.970941817426052,0.23931566428755804,0.08339823959975246
Cambodia,KHM,WPR,2006,12,36.0,4.0,0.1111111111111111,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,31.90142857142857,52.19714285714286,17.547274100935145,31.37857142857143,29.197142857142858,53.63142857142857,60.18857142857143,17.531585297908933,3,1,0.2,0.1304347826086956,0.2413793103448276,0.0588235294117647,0.1471819645732689,0.04675103977230028,0.992708874098054,0.120536680255323,0.08339823959975246
Cambodia,KHM,WPR,2006,13,21.0,1.0,0.0476190476190476,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,32.65,49.71857142857142,17.394409805744417,31.90142857142857,31.37857142857143,52.19714285714286,53.63142857142857,17.547274100935145,4,1,0.1111111111111111,0.2,0.1304347826086956,0.2413793103448276,0.11957671957671957,0.07654239712179946,1.0,-1.6081226496766364e-16,0.06171715353956113
Cambodia,KHM,WPR,2006,14,20.0,2.0,0.1,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,30.841428571428573,56.07857142857143,17.809654478747944,32.65,31.90142857142857,49.71857142857142,52.19714285714286,17.394409805744417,4,2,0.0476190476190476,0.1111111111111111,0.2,0.1304347826086956,0.08624338624338625,0.03390787295240656,0.992708874098054,-0.12053668025532288,0.06171715353956113
Cambodia,KHM,WPR,2006,15,29.0,1.0,0.0344827586206896,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,30.857142857142858,61.22571428571429,19.46077318275002,30.841428571428573,32.65,56.07857142857143,49.71857142857142,17.809654478747944,4,2,0.1,0.0476190476190476,0.1111111111111111,0.2,0.06070060207991241,0.03466226377233796,0.9709418174260521,-0.2393156642875575,0.06171715353956113
Cambodia,KHM,WPR,2006,16,23.0,1.0,0.0434782608695652,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,31.21,61.30571428571428,19.85965898717802,30.857142857142858,30.841428571428573,61.22571428571429,56.07857142857143,19.46077318275002,4,2,0.0344827586206896,0.1,0.0476190476190476,0.1111111111111111,0.059320339830084945,0.03551557163882078,0.9350162426854148,-0.35460488704253545,0.06171715353956113
Cambodia,KHM,WPR,2006,17,15.0,1.625,0.1083333333333333,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,30.457142857142856,64.56714285714285,20.084690740167364,31.21,30.857142857142858,61.30571428571428,61.22571428571429,19.85965898717802,5,2,0.0434782608695652,0.0344827586206896,0.1,0.0476190476190476,0.06209811760786271,0.04029269344512702,0.8854560256532099,-0.4647231720437685,0.10620548929872768
Cambodia,KHM,WPR,2006,18,26.0,2.25,0.0865384615384615,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,29.822857142857146,71.11428571428571,21.3742045242974,30.457142857142856,31.21,64.56714285714285,61.30571428571428,20.084690740167364,5,2,0.1083333333333333,0.0434782608695652,0.0344827586206896,0.1,0.07945001858045334,0.03300347896429787,0.8229838658936565,-0.5680647467311557,0.10620548929872768
Cambodia,KHM,WPR,2006,19,23.0,2.0,0.0869565217391304,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,29.61428571428572,73.80571428571429,21.933158015921467,29.822857142857146,30.457142857142856,71.11428571428571,64.56714285714285,21.3742045242974,5,2,0.0865384615384615,0.1083333333333333,0.0434782608695652,0.0344827586206896,0.09394277220364174,0.012464344379203641,0.7485107481711013,-0.663122658240795,0.10620548929872768
Cambodia,KHM,WPR,2006,20,17.0,2.0,0.1176470588235294,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,29.44,71.87142857142858,21.15673522821396,29.61428571428572,29.822857142857146,73.80571428571429,71.11428571428571,21.933158015921467,5,2,0.0869565217391304,0.0865384615384615,0.1083333333333333,0.0434782608695652,0.09704734736704045,0.017841097994540447,0.6631226582407952,-0.7485107481711012,0.10620548929872768
Cambodia,KHM,WPR,2006,21,32.0,0.0,0.0,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,27.69428571428572,82.29285714285713,22.01390529784133,29.44,29.61428571428572,71.87142857142858,73.80571428571429,21.15673522821396,6,2,0.1176470588235294,0.0869565217391304,0.0865384615384615,0.1083333333333333,0.0682011935208866,0.0610248258079225,0.5680647467311558,-0.8229838658936564,0.14406109753616653
Cambodia,KHM,WPR,2006,22,28.0,0.0,0.0,29.6130476724133,10.943360068169357,612.2526485507273,,64.886,,36.5978182828651,59.9501943961914,3.45198732094352,77.26619079990935,27.754285714285714,83.17714285714285,22.324227840938537,27.69428571428572,29.44,82.29285714285713,71.87142857142858,22.01390529784133,6,2,0.0,0.1176470588235294,0.0869565217391304,0.0865384615384615,0.03921568627450981,0.06792356108113241,0.46472317204376906,-0.8854560256532096,0.14406109753616653
Cambodia,KHM,WPR,2007,1,26.0,0.0,0.0,28.8642622907811,10.398458101200973,731.6922951254261,,65.549,,35.5854923178177,60.8532976635214,3.56121001866091,78.41474053931566,27.708571428571428,60.18571428571429,16.11278797575729,25.802857142857142,27.57,57.38285714285714,65.62857142857142,13.818552128281972,1,1,0.0,0.0,0.1176470588235294,0.0869565217391304,0.0,0.0,0.12053668025532305,0.992708874098054,0.09548298126159474
Cambodia,KHM,WPR,2007,2,36.0,0.0,0.0,28.8642622907811,10.398458101200973,731.6922951254261,,65.549,,35.5854923178177,60.8532976635214,3.56121001866091,78.41474053931566,28.34857142857143,64.24142857142857,17.815182840086994,27.708571428571428,25.802857142857142,60.18571428571429,57.38285714285714,16.11278797575729,1,1,0.0,0.0,0.0,0.1176470588235294,0.0,0.0,0.23931566428755774,0.970941817426052,0.09548298126159474
Cambodia,KHM,WPR,2007,3,33.0,0.0,0.0,28.8642622907811,10.398458101200973,731.6922951254261,,65.549,,35.5854923178177,60.8532976635214,3.56121001866091,78.41474053931566,29.32857142857143,52.691428571428574,15.416868295594336,28.34857142857143,27.708571428571428,64.24142857142857,60.18571428571429,17.815182840086994,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3546048870425356,0.9350162426854148,0.09548298126159474
