,Cambodia,Indonesia,Lao PDR,Malaysia,Philippines,Singapore,Thailand,Vietnam
Cambodia,0.40061904735779585,0.0,0.15778228167338082,0.0,0.07155809275759337,0.0,0.20825831446894363,0.1741506827297592
Indonesia,0.0,0.5462865309550874,0.0,0.24909847773215865,0.0,0.17115201669646526,0.02647719359856227,0.0
Lao PDR,0.15778228167338085,0.0,0.507222795728405,0.0,0.027410659242846046,0.0,0.16141920564091924,0.1483464590030088
Malaysia,0.0,0.24909847773215865,0.0,0.49782126798797266,0.0,0.14402647333207647,0.12240853848600697,0.0
Philippines,0.07155809275759338,0.0,0.027410659242846042,0.0,0.7786991547599481,0.029363043155347043,0.06478531575479017,0.029761213311065557
Singapore,0.0,0.17115201669646526,0.0,0.14402647333207647,0.029363043155347043,0.6493433996109437,0.0,0.0
Thailand,0.20825831446894366,0.02647719359856227,0.16141920564091924,0.12240853848600697,0.06478531575479017,0.0,0.4129989840159408,0.0
Vietnam,0.1741506827297592,0.0,0.1483464590030088,0.0,0.029761213311065557,0.0,0.0,0.634022998186082
